elev_m,ave_nbp_deg_c,overall_ave_mw,storage_ave_vap_mw,storage_shi,storage_temp_deg_c,storage_vapor_mol_composition,storage_shi_times_vapor_mol_composition,storage_total_vapor_moles,storage_shi_times_total_vapor_moles,storage_component_vapor_moles,storage_shi_times_component_vapor_moles,storage_total_moles,storage_shi_times_total_moles,storage_component_total_moles,storage_shi_times_component_total_moles,discharge_ave_vap_mw,discharge_shi,discharge_temp_deg_c,discharge_vapor_mol_composition,discharge_shi_times_vapor_mol_composition,discharge_total_vapor_moles,discharge_shi_times_total_vapor_moles,discharge_component_vapor_moles,discharge_shi_times_component_vapor_moles,discharge_total_moles,discharge_shi_times_total_moles,discharge_component_total_moles,discharge_shi_times_component_total_moles,release_duration_sec,conc_low_ppm,area_conc_low_m2,conc_high_ppm,catastrophic_release_01,discharge_diameter,release_orientation,pressure_psig,area_conc_high_m2
3,-1.697908562,17.80713613,17.05648277,0.000652945,20,0.979417964,0.000639506,2.731920105,0.001783794,2.675691626,0.00174708,17.58107161,0.011479478,4.411870484,0.00288071,17.08422947,0.000637623,31.86446811,0.956434075,0.000609844,3.447257603,0.00219805,3.297074638,0.00210229,17.58107161,0.011210091,4.411870484,0.002813109,3600,1568.325553,11.63939049,15683.25553,0,1,0,0.1,1.64926747
3,-1.697908562,17.80713613,17.05648277,0.000652945,20,0.979417964,0.000639506,2.731920105,0.001783794,2.675691626,0.00174708,17.58107161,0.011479478,4.411870484,0.00288071,17.08422947,0.000637623,31.86446811,0.956434075,0.000609844,3.447257603,0.00219805,3.297074638,0.00210229,17.58107161,0.011210091,4.411870484,0.002813109,3600,1568.325553,11.63939049,15683.25553,0,1,0,0.1,1.64926747
6,-252.5155736,5.19894496,5.19894496,0.000165714,245,0.058,9.61E-06,5.055771074,0.000837813,0.293234722,4.86E-05,5.055771074,0.000837813,0.293234722,4.86E-05,5.19894496,0.000165714,59.74561047,0.058,9.61E-06,5.055771074,0.000837813,0.293234722,4.86E-05,5.055771074,0.000837813,0.293234722,4.86E-05,3600,6034.482759,83.60159914,60344.82759,0,0.87,0,117.48,1.67673488
3,-6.373005315,31.0571,31.0571,0.002,45,1,0.002,160.9937824,0.321987565,160.9937824,0.321987565,160.9937824,0.321987565,160.9937824,0.321987565,31.0571,0.002,40.44085723,1,0.002,160.9937824,0.321987565,160.9937824,0.321987565,160.9937824,0.321987565,160.9937824,0.321987565,3600,500,3.51455044,5000,0,10,6,1.45038,1.711651203
2.5,64.53476094,32.04186,32.04186,0.0002,110,1,0.0002,0,0,0,0,1560.458725,0.312091745,1560.458725,0.312091745,32.04186,0.0002,64.53476023,1,0.0002,0,0,0,0,1560.458725,0.312091745,1560.458725,0.312091745,3600,5000,7.60197607,50000,0,0.6,3,754.196,1.754457254
0,10.34262908,44.05256,44.05256,0.002,25,1,0.002,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,44.05256,0.002,21.52572699,1,0.002,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,3600,500,34.73232831,5000,0,5,0,1,1.851529209
1,64.53476094,32.04186,32.04186,0.0002,20,1,0.0002,0,0,0,0,1983.347199,0.39666944,1983.347199,0.39666944,32.04186,0.0002,19.9829228,1,0.0002,0,0,0,0,1983.347199,0.39666944,1983.347199,0.39666944,3600,5000,874.2841959,50000,0,1,0,17,1.919264607
1,31.7874635,60.05196,60.05196,0.000222222,15,1,0.000222222,0,0,0,0,432.9583914,0.096212976,432.9583914,0.096212976,60.05196,0.000222222,14.89510675,1,0.000222222,0,0,0,0,432.9583914,0.096212976,432.9583914,0.096212976,3600,4500,3226.657806,45000,0,1,0,58,1.975155739
1,31.7874635,60.05196,60.05196,0.000222222,15,1,0.000222222,0,0,0,0,432.9583914,0.096212976,432.9583914,0.096212976,60.05196,0.000222222,14.89510675,1,0.000222222,0,0,0,0,432.9583914,0.096212976,432.9583914,0.096212976,3600,4500,3226.657721,45000,0,0.3,0,58,1.975155792
1,58.02094302,35.89236195,39.49849443,0.000146758,95,0.733787654,0.000107689,0,0,0,0,2786.10809,0.408882344,2403.106436,0.352673967,41.46228889,0.000132735,58.02094167,0.663677427,8.81E-05,0,0,0,0,2786.10809,0.36981541,2403.106436,0.318977499,3600,7533.780409,324.6126519,75337.80409,0,0.28,0,580,1.977337965
1,116.0644209,116.15828,116.15828,0.000124218,129,0.941256332,0.000116921,0,0,0,0,19.80056867,0.002459579,18.81054024,0.0023366,116.15828,0.000124108,116.0644223,0.940424507,0.000116714,0,0,0,0,19.80056867,0.002457406,18.81054024,0.002334535,3600,8057.509434,135.1299254,80575.09434,0,2,0,7,2.013681874
1,7.073402534,45.08368,45.08368,0.002857143,27,1,0.002857143,0,0,0,0,44.36195093,0.126748431,44.36195093,0.126748431,45.08368,0.002857143,7.073404602,1,0.002857143,0,0,0,0,44.36195093,0.126748431,44.36195093,0.126748431,3600,350,659.9851148,3500,0,0.06,0,30,2.139565612
1,100.0308762,18.81689381,18.75704034,0.000105926,112,0.026481586,2.81E-06,0,0,0,0,5314.373402,0.562932138,152.0889416,0.016110225,18.80430646,0.000112676,100.0308798,0.028169034,3.17E-06,28.39319478,0.003199235,0.799808858,9.01E-05,5314.373402,0.598803052,152.0889416,0.017136794,3600,8874.993847,26.74662844,88749.93847,0,0.2,0,128,2.149732338
0,-194.0582926,27.02723244,27.25236421,3.03E-05,50,0.007568684,2.29E-07,20.11607265,0.000609009,0.152252194,4.61E-06,21.79431436,0.000659817,0.322144553,9.75E-06,27.02877518,5.56E-05,59.43119063,0.013894809,7.72E-07,21.61333939,0.001201253,0.30031323,1.67E-05,21.79431436,0.001211311,0.322144553,1.79E-05,3600,17992.33038,14.81242641,179923.3038,0,3,0,0.01,2.191351262
6,-252.5844526,3.435864244,3.435864244,9.11E-05,40,0.045525225,4.15E-06,29104.75878,2.650001397,1325.000698,0.12064191,29104.75878,2.650001397,1325.000698,0.12064191,3.435864244,9.11E-05,-113.6546894,0.045525225,4.15E-06,29104.75878,2.650001397,1325.000698,0.12064191,29104.75878,2.650001397,1325.000698,0.12064191,3600,10982.92205,143.9922865,109829.2205,0,0.5,0,834,2.211464397
6,-252.5714779,3.528740859,3.528740859,9.83E-05,71,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3.528740859,9.83E-05,-96.85109716,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3600,10176.54343,146.3203488,101765.4343,0,0.5,0,834,2.320680787
1.5,64.53476094,32.04186,32.04186,0.0002,30,1,0.0002,0,0,0,0,3120.91745,0.62418349,3120.91745,0.62418349,32.04186,0.0002,29.93582828,1,0.0002,0,0,0,0,3120.91745,0.62418349,3120.91745,0.62418349,3600,5000,2735.975468,50000,0,1,0,595,2.330260722
0,31.80137979,59.11026,59.11026,0.001333333,60,1,0.001333333,0,0,0,0,16.93445436,0.022579272,16.93445436,0.022579272,59.11026,0.001333333,31.80138194,1,0.001333333,0,0,0,0,16.93445436,0.022579272,16.93445436,0.022579272,3600,750,5528.668568,7500,0,0.374,6,285,2.372808241
2,-252.5714779,3.528740859,3.528740859,9.83E-05,71,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3.528740859,9.83E-05,-96.85109716,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3600,10176.54343,157.2815884,101765.4343,0,0.5,0,834,2.381071455
0,66.52263407,34.49036046,34.48286089,0.000348584,117.25,0.087146032,3.04E-05,11.99265587,0.00418045,1.045112376,0.00036431,12.00437889,0.004184536,1.049360238,0.00036579,34.12708092,0.000297734,73.86396474,0.074433548,2.22E-05,11.44167363,0.003406577,0.851644362,0.000253564,12.00437889,0.003574114,1.049360238,0.00031243,3600,3358.700573,227.7764147,33587.00573,0,0.5,0,45,2.413446491
0,66.52263407,34.49036046,34.48286089,0.000348584,117.25,0.087146032,3.04E-05,11.99265587,0.00418045,1.045112376,0.00036431,12.00437889,0.004184536,1.049360238,0.00036579,34.12708092,0.000297734,73.86396474,0.074433548,2.22E-05,11.44167363,0.003406577,0.851644362,0.000253564,12.00437889,0.003574114,1.049360238,0.00031243,3600,3358.700573,227.7764147,33587.00573,0,0.5,0,45,2.413446491
