CompositionID,HazardStudy,ChemicalID,ChemicalName,CASNumber,Contribution
2585,1152,48,METHANOL,67-56-1,2.0
2586,1152,326,METHYL FORMATE,107-31-3,62.0
2587,1152,70,NITROGEN,7727-37-9,2.0
2588,1153,24,CARBON MONOXIDE,630-08-0,33.0
2589,1153,47,METHANE,74-82-8,1.0
2590,1153,48,METHANOL,67-56-1,2.0
2591,1153,326,METHYL FORMATE,107-31-3,62.0
2592,1153,70,NITROGEN,7727-37-9,2.0
2593,1154,24,CARBON MONOXIDE,630-08-0,33.0
2594,1154,47,METHANE,74-82-8,1.0
2595,1154,48,METHANOL,67-56-1,2.0
2596,1154,326,METHYL FORMATE,107-31-3,62.0
2597,1154,70,NITROGEN,7727-37-9,2.0
2600,1155,48,METHANOL,67-56-1,5.0
2601,1155,326,METHYL FORMATE,107-31-3,95.0
2603,1156,48,METHANOL,67-56-1,5.0
2604,1156,326,METHYL FORMATE,107-31-3,95.0
2605,1157,2,"1,3-BUTADIENE",106-99-0,100.0
2606,1158,326,METHYL FORMATE,107-31-3,1.0
2607,1158,48,METHANOL,67-56-1,99.0
2608,1159,250,ACETIC ACID,64-19-7,20774.43777
2609,1159,349,ISOPROPYL ACETATE,108-21-4,13596.08948
2610,1159,99,WATER,7732-18-5,2640.586282
2615,1162,228,2-METHYLPROPANAL,78-84-2,100.0
2617,1164,48,METHANOL,67-56-1,100.0
2618,1165,24,CARBON MONOXIDE,630-08-0,70.0
2619,1165,36,HYDROGEN,1333-74-0,14.0
2620,1165,22,CARBON DIOXIDE,124-38-9,15.0
2621,1166,24,CARBON MONOXIDE,630-08-0,80.0
2622,1166,36,HYDROGEN,1333-74-0,17.0
2624,1167,24,CARBON MONOXIDE,630-08-0,76.0
2625,1167,36,HYDROGEN,1333-74-0,15.0
2626,1167,48,METHANOL,67-56-1,1.0
2627,1167,326,METHYL FORMATE,107-31-3,2.0
2628,1167,70,NITROGEN,7727-37-9,4.0
2629,1167,47,METHANE,74-82-8,2.0
2633,1168,326,METHYL FORMATE,107-31-3,100.0
2636,1169,24,CARBON MONOXIDE,630-08-0,76.0
2637,1169,36,HYDROGEN,1333-74-0,15.0
2638,1169,48,METHANOL,67-56-1,1.0
2639,1169,326,METHYL FORMATE,107-31-3,2.0
2640,1169,70,NITROGEN,7727-37-9,4.0
2641,1169,47,METHANE,74-82-8,2.0
2642,1170,326,METHYL FORMATE,107-31-3,100.0
2643,1171,24,CARBON MONOXIDE,630-08-0,70.0
2644,1171,36,HYDROGEN,1333-74-0,14.0
